Temperature (K),Energy (eV)
507.000000,-97.758570
483.000000,-97.756514
444.000000,-97.755488
396.000000,-97.755547
347.000000,-97.754463
301.000000,-97.754244
264.000000,-97.754121
237.000000,-97.753349
224.000000,-97.752650
225.000000,-97.752259
239.000000,-97.752363
265.000000,-97.753101
300.000000,-97.754009
339.000000,-97.755536
376.000000,-97.757319
407.000000,-97.758576
428.000000,-97.759499
436.000000,-97.759101
436.000000,-97.758622
431.000000,-97.758052
425.000000,-97.756716
422.000000,-97.755678
423.000000,-97.755482
427.000000,-97.754749
428.000000,-97.754062
424.000000,-97.753880
409.000000,-97.753315
384.000000,-97.752328
348.000000,-97.750770
305.000000,-97.749497
261.000000,-97.748233
222.000000,-97.746742
194.000000,-97.745436
182.000000,-97.744791
188.000000,-97.744424
211.000000,-97.744745
250.000000,-97.746003
298.000000,-97.748038
349.000000,-97.749670
393.000000,-97.752079
423.000000,-97.753064
435.000000,-97.753788
426.000000,-97.752928
400.000000,-97.751365
365.000000,-97.748235
330.000000,-97.745625
303.000000,-97.743566
288.000000,-97.741401
287.000000,-97.740495
297.000000,-97.740417
314.000000,-97.740297
332.000000,-97.740195
